Decade,Name,Gender,Births,Rank
1920,Robert,Male,576373,1
1920,John,Male,564054,2
1920,James,Male,515301,3
1920,William,Male,512403,4
1920,Charles,Male,298031,5
1920,George,Male,261945,6
1920,Joseph,Male,243811,7
1920,Richard,Male,222602,8
1920,Edward,Male,197348,9
1920,Donald,Male,191819,10
1920,Thomas,Male,161109,11
1920,Frank,Male,151830,12
1920,Harold,Male,133585,13
1920,Paul,Male,132387,14
1920,Raymond,Male,124213,15
1920,Walter,Male,119810,16
1920,Jack,Male,115985,17
1920,Henry,Male,104553,18
1920,Kenneth,Male,99490,19
1920,Arthur,Male,97112,20
1920,Albert,Male,94432,21
1920,David,Male,88739,22
1920,Harry,Male,86183,23
1920,Eugene,Male,84755,24
1920,Ralph,Male,84466,25
1920,Howard,Male,70347,26
1920,Carl,Male,69852,27
1920,Willie,Male,67992,28
1920,Louis,Male,67694,29
1920,Clarence,Male,66575,30
1920,Earl,Male,63603,31
1920,Roy,Male,63259,32
1920,Fred,Male,62743,33
1920,Joe,Male,62676,34
1920,Francis,Male,59096,35
1920,Lawrence,Male,56866,36
1920,Herbert,Male,56531,37
1920,Leonard,Male,53794,38
1920,Ernest,Male,53654,39
1920,Alfred,Male,50156,40
1920,Anthony,Male,50056,41
1920,Stanley,Male,49456,42
1920,Norman,Male,49363,43
1920,Gerald,Male,44522,44
1920,Daniel,Male,43412,45
1920,Samuel,Male,43362,46
1920,Bernard,Male,42410,47
1920,Billy,Male,42096,48
1920,Melvin,Male,40583,49
1920,Marvin,Male,39588,50
1920,Warren,Male,38775,51
1920,Michael,Male,37894,52
1920,Leroy,Male,37870,53
1920,Russell,Male,37208,54
1920,Leo,Male,36960,55
1920,Andrew,Male,35953,56
1920,Edwin,Male,35255,57
1920,Elmer,Male,34919,58
1920,Peter,Male,34069,59
1920,Floyd,Male,33157,60
1920,Lloyd,Male,33126,61
1920,Ray,Male,32045,62
1920,Frederick,Male,31513,63
1920,Theodore,Male,31287,64
1920,Clifford,Male,31243,65
1920,Vernon,Male,29432,66
1920,Herman,Male,29011,67
1920,Clyde,Male,28955,68
1920,Chester,Male,28435,69
1920,Philip,Male,27268,70
1920,Alvin,Male,26872,71
1920,Lester,Male,26513,72
1920,Wayne,Male,26402,73
1920,Vincent,Male,26238,74
1920,Gordon,Male,25622,75
1920,Leon,Male,25577,76
1920,Lewis,Male,25327,77
1920,Charlie,Male,25176,78
1920,Glenn,Male,25157,79
1920,Calvin,Male,24784,80
1920,Martin,Male,24242,81
1920,Milton,Male,24198,82
1920,Lee,Male,23556,83
1920,Jesse,Male,23170,84
1920,Dale,Male,22751,85
1920,Cecil,Male,22528,86
1920,Bill,Male,22291,87
1920,Harvey,Male,21786,88
1920,Roger,Male,21753,89
1920,Victor,Male,21498,90
1920,Benjamin,Male,21028,91
1920,Wallace,Male,20915,92
1920,Ronald,Male,20895,93
1920,Sam,Male,20844,94
1920,Allen,Male,20092,95
1920,Arnold,Male,19531,96
1920,Willard,Male,18441,97
1920,Gilbert,Male,18233,98
1920,Edgar,Male,18037,99
1920,Oscar,Male,17740,100
1930,Robert,Male,590787,1
1930,James,Male,547462,2
1930,John,Male,487932,3
1930,William,Male,416720,4
1930,Richard,Male,330481,5
1930,Charles,Male,303205,6
1930,Donald,Male,283705,7
1930,George,Male,192285,8
1930,Thomas,Male,183867,9
1930,Joseph,Male,180557,10
1930,David,Male,164694,11
1930,Edward,Male,147842,12
1930,Ronald,Male,140331,13
1930,Paul,Male,125767,14
1930,Kenneth,Male,125103,15
1930,Frank,Male,108085,16
1930,Raymond,Male,99580,17
1930,Jack,Male,96393,18
1930,Harold,Male,95467,19
1930,Billy,Male,88339,20
1930,Gerald,Male,82816,21
1930,Walter,Male,80903,22
1930,Jerry,Male,80688,23
1930,Joe,Male,71466,24
1930,Eugene,Male,70939,25
1930,Henry,Male,70417,26
1930,Bobby,Male,69416,27
1930,Arthur,Male,67730,28
1930,Carl,Male,66754,29
1930,Larry,Male,65247,30
1930,Ralph,Male,63800,31
1930,Albert,Male,62827,32
1930,Willie,Male,62467,33
1930,Fred,Male,56162,34
1930,Michael,Male,56001,35
1930,Lawrence,Male,54486,36
1930,Harry,Male,53116,37
1930,Howard,Male,51494,38
1930,Roy,Male,51494,39
1930,Norman,Male,49987,40
1930,Roger,Male,49611,41
1930,Daniel,Male,47998,42
1930,Louis,Male,47750,43
1930,Earl,Male,44611,44
1930,Gary,Male,43592,45
