Decade,Name,Gender,Births,Rank,Popularity Ratio
1920,Mary,Female,701755,1,0.024884929
1920,Dorothy,Female,368874,2,0.013080638
1920,Helen,Female,290403,3,0.010297979
1920,Betty,Female,283095,4,0.01003883
1920,Margaret,Female,245010,5,0.008688298
1920,Ruth,Female,218520,6,0.007748936
1920,Virginia,Female,169553,7,0.006012518
1920,Doris,Female,151191,8,0.005361383
1920,Mildred,Female,147156,9,0.005218298
1920,Frances,Female,140391,10,0.004978404
1920,Elizabeth,Female,139673,11,0.004952943
1920,Evelyn,Female,124166,12,0.00440305
1920,Anna,Female,123895,13,0.00439344
1920,Marie,Female,110563,14,0.003920674
1920,Alice,Female,110526,15,0.003919362
1920,Jean,Female,105998,16,0.003758794
1920,Shirley,Female,98601,17,0.003496489
1920,Barbara,Female,97210,18,0.003447163
1920,Irene,Female,92836,19,0.003292057
1920,Marjorie,Female,91221,20,0.003234787
1920,Florence,Female,88295,21,0.003131028
1920,Lois,Female,88132,22,0.003125248
1920,Martha,Female,86787,23,0.003077553
1920,Rose,Female,85306,24,0.003025035
1920,Lillian,Female,83157,25,0.00294883
1920,Louise,Female,82894,26,0.002939504
1920,Catherine,Female,78882,27,0.002797234
1920,Ruby,Female,76735,28,0.002721099
1920,Eleanor,Female,74760,29,0.002651064
1920,Patricia,Female,74731,30,0.002650035
1920,Gladys,Female,72562,31,0.002573121
1920,Annie,Female,69467,32,0.002463369
1920,Josephine,Female,69222,33,0.002454681
1920,Thelma,Female,68767,34,0.002438546
1920,Edna,Female,68629,35,0.002433652
1920,Norma,Female,65242,36,0.002313546
1920,Pauline,Female,64074,37,0.002272128
1920,Lucille,Female,63882,38,0.002265319
1920,Edith,Female,62989,39,0.002233652
1920,Gloria,Female,62858,40,0.002229007
1920,Ethel,Female,62805,41,0.002227128
1920,Phyllis,Female,61870,42,0.002193972
1920,Grace,Female,60060,43,0.002129787
1920,Hazel,Female,58984,44,0.002091631
1920,June,Female,56483,45,0.002002943
1920,Bernice,Female,55841,46,0.001980177
1920,Marion,Female,55178,47,0.001956667
1920,Dolores,Female,51989,48,0.001843582
1920,Rita,Female,50588,49,0.001793901
1920,Lorraine,Female,49939,50,0.001770887
1920,Ann,Female,49809,51,0.001766277
1920,Esther,Female,49230,52,0.001745745
1920,Beatrice,Female,49229,53,0.001745709
1920,Juanita,Female,48547,54,0.001721525
1920,Clara,Female,48183,55,0.001708617
1920,Jane,Female,48049,56,0.001703865
1920,Geraldine,Female,48044,57,0.001703688
1920,Sarah,Female,46768,58,0.00165844
1920,Emma,Female,46538,59,0.001650284
1920,Joan,Female,45351,60,0.001608191
1920,Joyce,Female,44174,61,0.001566454
1920,Nancy,Female,43807,62,0.00155344
1920,Katherine,Female,42744,63,0.001515745
1920,Gertrude,Female,42459,64,0.001505638
1920,Elsie,Female,42099,65,0.001492872
1920,Julia,Female,40331,66,0.001430177
1920,Agnes,Female,39222,67,0.001390851
1920,Wilma,Female,39126,68,0.001387447
1920,Marian,Female,38978,69,0.001382199
1920,Bertha,Female,38571,70,0.001367766
1920,Eva,Female,38048,71,0.00134922
1920,Willie,Female,37814,72,0.001340922
1920,Audrey,Female,37550,73,0.00133156
1920,Theresa,Female,36667,74,0.001300248
1920,Vivian,Female,36572,75,0.001296879
1920,Wanda,Female,36007,76,0.001276844
1920,Laura,Female,35991,77,0.001276277
1920,Charlotte,Female,35752,78,0.001267801
1920,Ida,Female,35619,79,0.001263085
1920,Elaine,Female,34907,80,0.001237837
1920,Anne,Female,34512,81,0.00122383
1920,Marilyn,Female,34202,82,0.001212837
1920,Kathryn,Female,33791,83,0.001198262
1920,Maxine,Female,33744,84,0.001196596
1920,Kathleen,Female,33597,85,0.001191383
1920,Viola,Female,33251,86,0.001179113
1920,Pearl,Female,32774,87,0.001162199
1920,Vera,Female,32542,88,0.001153972
1920,Bessie,Female,32158,89,0.001140355
1920,Myrtle,Female,30569,90,0.001084007
1920,Alma,Female,30435,91,0.001079255
1920,Beverly,Female,30205,92,0.001071099
1920,Violet,Female,30022,93,0.00106461
1920,Nellie,Female,29689,94,0.001052801
1920,Ella,Female,29520,95,0.001046809
1920,Lillie,Female,29382,96,0.001041915
1920,Jessie,Female,29289,97,0.001038617
1920,Jeanne,Female,29119,98,0.001032589
1920,Eileen,Female,28588,99,0.001013759
1920,Ellen,Female,28391,100,0.001006773
1930,Mary,Female,572987,1,0.023579712
1930,Betty,Female,300406,2,0.012362387
1930,Barbara,Female,296412,3,0.012198025
1930,Shirley,Female,229375,4,0.0094393
1930,Patricia,Female,220580,5,0.009077366
1930,Dorothy,Female,210415,6,0.008659053
1930,Joan,Female,173436,7,0.007137284
1930,Margaret,Female,157370,8,0.006476132
1930,Nancy,Female,142483,9,0.005863498
1930,Helen,Female,140425,10,0.005778807
1930,Carol,Female,117728,11,0.004844774
1930,Joyce,Female,115505,12,0.004753292
1930,Doris,Female,110655,13,0.004553704
1930,Ruth,Female,109204,14,0.004493992
1930,Virginia,Female,103087,15,0.004242263
1930,Marilyn,Female,98532,16,0.004054815
1930,Elizabeth,Female,96478,17,0.003970288
1930,Jean,Female,94184,18,0.003875885
1930,Frances,Female,92116,19,0.003790782
1930,Beverly,Female,80840,20,0.003326749
1930,Lois,Female,80711,21,0.00332144
1930,Alice,Female,78969,22,0.003249753
1930,Donna,Female,78844,23,0.003244609
1930,Martha,Female,77698,24,0.003197449
1930,Dolores,Female,77135,25,0.00317428
1930,Janet,Female,76033,26,0.00312893
1930,Phyllis,Female,73805,27,0.003037243
1930,Norma,Female,72876,28,0.002999012
1930,Carolyn,Female,69525,29,0.002861111
1930,Evelyn,Female,69362,30,0.002854403
1930,Gloria,Female,68585,31,0.002822428
1930,Anna,Female,66597,32,0.002740617
1930,Marie,Female,65801,33,0.00270786
1930,Ann,Female,64061,34,0.002636255
1930,Mildred,Female,61733,35,0.002540453
1930,Rose,Female,59108,36,0.002432428
1930,Peggy,Female,56271,37,0.002315679
1930,Geraldine,Female,50039,38,0.002059218
1930,Catherine,Female,50028,39,0.002058765
1930,Judith,Female,49904,40,0.002053663
1930,Louise,Female,49860,41,0.002051852
1930,Janice,Female,49343,42,0.002030576
1930,Marjorie,Female,49213,43,0.002025226
1930,Annie,Female,48947,44,0.00201428
1930,Ruby,Female,47648,45,0.001960823
1930,Eleanor,Female,46379,46,0.001908601
1930,Jane,Female,45814,47,0.00188535
1930,Sandra,Female,45399,48,0.001868272
1930,Irene,Female,44449,49,0.001829177
1930,Wanda,Female,43074,50,0.001772593
1930,Elaine,Female,41108,51,0.001691687
1930,June,Female,40743,52,0.001676667
1930,Joanne,Female,40579,53,0.001669918
1930,Rita,Female,38740,54,0.001594239
1930,Florence,Female,37940,55,0.001561317
1930,Delores,Female,37603,56,0.001547449
1930,Lillian,Female,37393,57,0.001538807
1930,Marlene,Female,37355,58,0.001537243
1930,Edna,Female,36972,59,0.001521481
1930,Sarah,Female,36513,60,0.001502593
1930,Patsy,Female,36474,61,0.001500988
1930,Lorraine,Female,36332,62,0.001495144
1930,Thelma,Female,36254,63,0.001491934
1930,Josephine,Female,36051,64,0.00148358
1930,Juanita,Female,35916,65,0.001478025
1930,Bonnie,Female,35801,66,0.001473292
1930,Arlene,Female,34796,67,0.001431934
1930,Gladys,Female,34762,68,0.001430535
1930,Joann,Female,34696,69,0.001427819
1930,Sally,Female,34679,70,0.001427119
1930,Charlotte,Female,34646,71,0.001425761
1930,Kathleen,Female,34551,72,0.001421852
1930,Audrey,Female,34007,73,0.001399465
1930,Pauline,Female,33689,74,0.001386379
1930,Wilma,Female,33188,75,0.001365761
1930,Sylvia,Female,33009,76,0.001358395
1930,Theresa,Female,32786,77,0.001349218
1930,Jacqueline,Female,32112,78,0.001321481
1930,Clara,Female,31657,79,0.001302757
1930,Ethel,Female,31582,80,0.001299671
1930,Loretta,Female,31536,81,0.001297778
1930,Grace,Female,31358,82,0.001290453
1930,Sharon,Female,31083,83,0.001279136
1930,Edith,Female,31047,84,0.001277654
1930,Lucille,Female,30842,85,0.001269218
1930,Emma,Female,30020,86,0.001235391
1930,Bernice,Female,29906,87,0.0012307
1930,Marion,Female,29564,88,0.001216626
1930,Linda,Female,29358,89,0.001208148
1930,Jo,Female,28653,90,0.001179136
1930,Anne,Female,28621,91,0.001177819
1930,Hazel,Female,28564,92,0.001175473
1930,Roberta,Female,27731,93,0.001141193
1930,Carole,Female,26767,94,0.001101523
1930,Darlene,Female,25956,95,0.001068148
1930,Esther,Female,25791,96,0.001061358
1930,Katherine,Female,25193,97,0.001036749
1930,Ellen,Female,25139,98,0.001034527
1930,Laura,Female,25093,99,0.001032634
1930,Julia,Female,24937,100,0.001026214
1940,Mary,Female,640066,1,0.01608206
1940,Linda,Female,531653,2,0.013358116
1940,Barbara,Female,425261,3,0.01068495
1940,Patricia,Female,411412,4,0.010336985
1940,Carol,Female,292328,5,0.007344925
1940,Sandra,Female,265536,6,0.006671759
1940,Nancy,Female,252054,7,0.006333015
1940,Sharon,Female,221230,8,0.005558543
1940,Judith,Female,218033,9,0.005478216
1940,Susan,Female,212013,10,0.00532696
1940,Betty,Female,194622,11,0.00489
1940,Carolyn,Female,181852,12,0.004569146
1940,Margaret,Female,173023,13,0.004347312
1940,Shirley,Female,171777,14,0.004316005
1940,Judy,Female,167716,15,0.00421397
1940,Karen,Female,167700,16,0.004213568
1940,Donna,Female,165523,17,0.004158869
1940,Kathleen,Female,152980,18,0.003843719
1940,Joyce,Female,151493,19,0.003806357
1940,Dorothy,Female,132255,20,0.00332299
