Decade,Name,Gender,Births,Rank,Popularity Ratio
1920,Robert,Male,576373,1,0.020438759
1920,John,Male,564054,2,0.020001915
1920,James,Male,515301,3,0.018273085
1920,William,Male,512403,4,0.018170319
1920,Charles,Male,298031,5,0.010568475
1920,George,Male,261945,6,0.00928883
1920,Joseph,Male,243811,7,0.00864578
1920,Richard,Male,222602,8,0.007893688
1920,Edward,Male,197348,9,0.006998156
1920,Donald,Male,191819,10,0.006802092
1920,Thomas,Male,161109,11,0.005713085
1920,Frank,Male,151830,12,0.005384043
1920,Harold,Male,133585,13,0.004737057
1920,Paul,Male,132387,14,0.004694574
1920,Raymond,Male,124213,15,0.004404716
1920,Walter,Male,119810,16,0.004248582
1920,Jack,Male,115985,17,0.004112943
1920,Henry,Male,104553,18,0.003707553
1920,Kenneth,Male,99490,19,0.003528014
1920,Arthur,Male,97112,20,0.003443688
1920,Albert,Male,94432,21,0.003348652
1920,David,Male,88739,22,0.003146773
1920,Harry,Male,86183,23,0.003056135
1920,Eugene,Male,84755,24,0.003005496
1920,Ralph,Male,84466,25,0.002995248
1920,Howard,Male,70347,26,0.002494574
1920,Carl,Male,69852,27,0.002477021
1920,Willie,Male,67992,28,0.002411064
1920,Louis,Male,67694,29,0.002400496
1920,Clarence,Male,66575,30,0.002360816
1920,Earl,Male,63603,31,0.002255426
1920,Roy,Male,63259,32,0.002243227
1920,Fred,Male,62743,33,0.002224929
1920,Joe,Male,62676,34,0.002222553
1920,Francis,Male,59096,35,0.002095603
1920,Lawrence,Male,56866,36,0.002016525
1920,Herbert,Male,56531,37,0.002004645
1920,Leonard,Male,53794,38,0.001907589
1920,Ernest,Male,53654,39,0.001902624
1920,Alfred,Male,50156,40,0.001778582
1920,Anthony,Male,50056,41,0.001775035
1920,Stanley,Male,49456,42,0.001753759
1920,Norman,Male,49363,43,0.001750461
1920,Gerald,Male,44522,44,0.001578794
1920,Daniel,Male,43412,45,0.001539433
1920,Samuel,Male,43362,46,0.00153766
1920,Bernard,Male,42410,47,0.001503901
1920,Billy,Male,42096,48,0.001492766
1920,Melvin,Male,40583,49,0.001439113
1920,Marvin,Male,39588,50,0.00140383
1920,Warren,Male,38775,51,0.001375
1920,Michael,Male,37894,52,0.001343759
1920,Leroy,Male,37870,53,0.001342908
1920,Russell,Male,37208,54,0.001319433
1920,Leo,Male,36960,55,0.001310638
1920,Andrew,Male,35953,56,0.001274929
1920,Edwin,Male,35255,57,0.001250177
1920,Elmer,Male,34919,58,0.001238262
1920,Peter,Male,34069,59,0.001208121
1920,Floyd,Male,33157,60,0.00117578
1920,Lloyd,Male,33126,61,0.001174681
1920,Ray,Male,32045,62,0.001136348
1920,Frederick,Male,31513,63,0.001117482
1920,Theodore,Male,31287,64,0.001109468
1920,Clifford,Male,31243,65,0.001107908
1920,Vernon,Male,29432,66,0.001043688
1920,Herman,Male,29011,67,0.001028759
1920,Clyde,Male,28955,68,0.001026773
1920,Chester,Male,28435,69,0.001008333
1920,Philip,Male,27268,70,0.00096695
1920,Alvin,Male,26872,71,0.000952908
1920,Lester,Male,26513,72,0.000940177
1920,Wayne,Male,26402,73,0.000936241
1920,Vincent,Male,26238,74,0.000930426
1920,Gordon,Male,25622,75,0.000908582
1920,Leon,Male,25577,76,0.000906986
1920,Lewis,Male,25327,77,0.000898121
1920,Charlie,Male,25176,78,0.000892766
1920,Glenn,Male,25157,79,0.000892092
1920,Calvin,Male,24784,80,0.000878865
1920,Martin,Male,24242,81,0.000859645
1920,Milton,Male,24198,82,0.000858085
1920,Lee,Male,23556,83,0.000835319
1920,Jesse,Male,23170,84,0.000821631
1920,Dale,Male,22751,85,0.000806773
1920,Cecil,Male,22528,86,0.000798865
1920,Bill,Male,22291,87,0.000790461
1920,Harvey,Male,21786,88,0.000772553
1920,Roger,Male,21753,89,0.000771383
1920,Victor,Male,21498,90,0.00076234
1920,Benjamin,Male,21028,91,0.000745674
1920,Wallace,Male,20915,92,0.000741667
1920,Ronald,Male,20895,93,0.000740957
1920,Sam,Male,20844,94,0.000739149
1920,Allen,Male,20092,95,0.000712482
1920,Arnold,Male,19531,96,0.000692589
1920,Willard,Male,18441,97,0.000653936
1920,Gilbert,Male,18233,98,0.00064656
1920,Edgar,Male,18037,99,0.00063961
1920,Oscar,Male,17740,100,0.000629078
