"Decade","Decadewise Rank","Male Name","No. of babies(M)","Female Name","No. of babies(F)"
1920,"1","Robert","576373","Mary","701755"
1920,"2","John","564054","Dorothy","368874"
1920,"3","James","515301","Helen","290403"
1920,"4","William","512403","Betty","283095"
1920,"5","Charles","298031","Margaret","245010"
1920,"6","George","261945","Ruth","218520"
1920,"7","Joseph","243811","Virginia","169553"
1920,"8","Richard","222602","Doris","151191"
1920,"9","Edward","197348","Mildred","147156"
1920,"10","Donald","191819","Frances","140391"
1920,"11","Thomas","161109","Elizabeth","139673"
1920,"12","Frank","151830","Evelyn","124166"
1920,"13","Harold","133585","Anna","123895"
1920,"14","Paul","132387","Marie","110563"
1920,"15","Raymond","124213","Alice","110526"
1920,"16","Walter","119810","Jean","105998"
1920,"17","Jack","115985","Shirley","98601"
1920,"18","Henry","104553","Barbara","97210"
1920,"19","Kenneth","99490","Irene","92836"
1920,"20","Arthur","97112","Marjorie","91221"
1920,"21","Albert","94432","Florence","88295"
1920,"22","David","88739","Lois","88132"
1920,"23","Harry","86183","Martha","86787"
1920,"24","Eugene","84755","Rose","85306"
1920,"25","Ralph","84466","Lillian","83157"
1920,"26","Howard","70347","Louise","82894"
1920,"27","Carl","69852","Catherine","78882"
1920,"28","Willie","67992","Ruby","76735"
1920,"29","Louis","67694","Eleanor","74760"
1920,"30","Clarence","66575","Patricia","74731"
1920,"31","Earl","63603","Gladys","72562"
1920,"32","Roy","63259","Annie","69467"
1920,"33","Fred","62743","Josephine","69222"
1920,"34","Joe","62676","Thelma","68767"
1920,"35","Francis","59096","Edna","68629"
1920,"36","Lawrence","56866","Norma","65242"
1920,"37","Herbert","56531","Pauline","64074"
1920,"38","Leonard","53794","Lucille","63882"
1920,"39","Ernest","53654","Edith","62989"
1920,"40","Alfred","50156","Gloria","62858"
1920,"41","Anthony","50056","Ethel","62805"
1920,"42","Stanley","49456","Phyllis","61870"
1920,"43","Norman","49363","Grace","60060"
1920,"44","Gerald","44522","Hazel","58984"
1920,"45","Daniel","43412","June","56483"
1920,"46","Samuel","43362","Bernice","55841"
1920,"47","Bernard","42410","Marion","55178"
1920,"48","Billy","42096","Dolores","51989"
1920,"49","Melvin","40583","Rita","50588"
1920,"50","Marvin","39588","Lorraine","49939"
1920,"51","Warren","38775","Ann","49809"
1920,"52","Michael","37894","Esther","49230"
1920,"53","Leroy","37870","Beatrice","49229"
1920,"54","Russell","37208","Juanita","48547"
1920,"55","Leo","36960","Clara","48183"
1920,"56","Andrew","35953","Jane","48049"
1920,"57","Edwin","35255","Geraldine","48044"
1920,"58","Elmer","34919","Sarah","46768"
1920,"59","Peter","34069","Emma","46538"
1920,"60","Floyd","33157","Joan","45351"
1920,"61","Lloyd","33126","Joyce","44174"
1920,"62","Ray","32045","Nancy","43807"
1920,"63","Frederick","31513","Katherine","42744"
1920,"64","Theodore","31287","Gertrude","42459"
1920,"65","Clifford","31243","Elsie","42099"
1920,"66","Vernon","29432","Julia","40331"
1920,"67","Herman","29011","Agnes","39222"
1920,"68","Clyde","28955","Wilma","39126"
1920,"69","Chester","28435","Marian","38978"
1920,"70","Philip","27268","Bertha","38571"
1920,"71","Alvin","26872","Eva","38048"
1920,"72","Lester","26513","Willie","37814"
1920,"73","Wayne","26402","Audrey","37550"
1920,"74","Vincent","26238","Theresa","36667"
1920,"75","Gordon","25622","Vivian","36572"
1920,"76","Leon","25577","Wanda","36007"
1920,"77","Lewis","25327","Laura","35991"
1920,"78","Charlie","25176","Charlotte","35752"
1920,"79","Glenn","25157","Ida","35619"
1920,"80","Calvin","24784","Elaine","34907"
1920,"81","Martin","24242","Anne","34512"
1920,"82","Milton","24198","Marilyn","34202"
1920,"83","Lee","23556","Kathryn","33791"
1920,"84","Jesse","23170","Maxine","33744"
1920,"85","Dale","22751","Kathleen","33597"
1920,"86","Cecil","22528","Viola","33251"
1920,"87","Bill","22291","Pearl","32774"
1920,"88","Harvey","21786","Vera","32542"
1920,"89","Roger","21753","Bessie","32158"
1920,"90","Victor","21498","Myrtle","30569"
1920,"91","Benjamin","21028","Alma","30435"
1920,"92","Wallace","20915","Beverly","30205"
1920,"93","Ronald","20895","Violet","30022"
1920,"94","Sam","20844","Nellie","29689"
1920,"95","Allen","20092","Ella","29520"
1920,"96","Arnold","19531","Lillie","29382"
1920,"97","Willard","18441","Jessie","29289"
1920,"98","Gilbert","18233","Jeanne","29119"
1920,"99","Edgar","18037","Eileen","28588"
1920,"100","Oscar","17740","Ellen","28391"
1930,"1","Robert","590787","Mary","572987"
1930,"2","James","547462","Betty","300406"
1930,"3","John","487932","Barbara","296412"
1930,"4","William","416720","Shirley","229375"
1930,"5","Richard","330481","Patricia","220580"
1930,"6","Charles","303205","Dorothy","210415"
1930,"7","Donald","283705","Joan","173436"
1930,"8","George","192285","Margaret","157370"
1930,"9","Thomas","183867","Nancy","142483"
1930,"10","Joseph","180557","Helen","140425"
1930,"11","David","164694","Carol","117728"
1930,"12","Edward","147842","Joyce","115505"
1930,"13","Ronald","140331","Doris","110655"
1930,"14","Paul","125767","Ruth","109204"
1930,"15","Kenneth","125103","Virginia","103087"
1930,"16","Frank","108085","Marilyn","98532"
1930,"17","Raymond","99580","Elizabeth","96478"
1930,"18","Jack","96393","Jean","94184"
1930,"19","Harold","95467","Frances","92116"
1930,"20","Billy","88339","Beverly","80840"
1930,"21","Gerald","82816","Lois","80711"
1930,"22","Walter","80903","Alice","78969"
1930,"23","Jerry","80688","Donna","78844"
1930,"24","Joe","71466","Martha","77698"
1930,"25","Eugene","70939","Dolores","77135"
1930,"26","Henry","70417","Janet","76033"
1930,"27","Bobby","69416","Phyllis","73805"
1930,"28","Arthur","67730","Norma","72876"
1930,"29","Carl","66754","Carolyn","69525"
1930,"30","Larry","65247","Evelyn","69362"
1930,"31","Ralph","63800","Gloria","68585"
1930,"32","Albert","62827","Anna","66597"
1930,"33","Willie","62467","Marie","65801"
1930,"34","Fred","56162","Ann","64061"
1930,"35","Michael","56001","Mildred","61733"
1930,"36","Lawrence","54486","Rose","59108"
1930,"37","Harry","53116","Peggy","56271"
1930,"38","Howard","51494","Geraldine","50039"
1930,"39","Roy","51494","Catherine","50028"
1930,"40","Norman","49987","Judith","49904"
1930,"41","Roger","49611","Louise","49860"
1930,"42","Daniel","47998","Janice","49343"
1930,"43","Louis","47750","Marjorie","49213"
1930,"44","Earl","44611","Annie","48947"
1930,"45","Gary","43592","Ruby","47648"
1930,"46","Clarence","42674","Eleanor","46379"
1930,"47","Anthony","42541","Jane","45814"
1930,"48","Francis","41384","Sandra","45399"
1930,"49","Wayne","41139","Irene","44449"
1930,"50","Marvin","41084","Wanda","43074"
